ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
R U R2 D' M U' D' B' ,1,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,3,0,0,
R U D2 F M U' R U2 ,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,
R U B2 U' B2 U F ,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,
R U M U F R' L2 ,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,0,
R U M U R2 U' F U ,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
R U M D R' U2 F' U ,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
R U M F D F R L ,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,
R U M F R2 F' R U' M2 ,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,6,0,1,
R U M U' F R' D M F ,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,
R U M U' R' F' R U M U ,2,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
R U M U' M U' L' ,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,
R U M D' R' F' D R F ,2,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,
R U M U2 R' U F M U2 ,1,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,
R U M' U F U L' ,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,
R D R U R' U' R' U' F' D ,2,0,1,2,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
R D R D M U' F2 ,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,
R D R U' R' U D R U ,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R D R D' F M D R' ,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
R D R D2 M U D' ,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,
R D F R U M F U' D' ,2,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
R D F U D' R' F ,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
R D F R' U' F U R F ,2,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
R D F U' R' D' M B ,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,
R D F R2 U' R2 U' L2 ,1,0,0,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,3,1,1,
R D F M U2 F U B' ,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6,0,0,
R D R' U R' U M U D ,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
R D R' U R2 U D R' U2 ,1,0,2,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
R D R' D R' U2 R U' R2 ,2,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,
R D R' F R' D U' ,1,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
R D R' U' R U' R U' F' ,3,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
R D R' U' R' F' U' F' D ,1,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,
R D R' U' M U M U2 ,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,
R D R' D' F' D R U L' ,2,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
R D R' U2 R' F' U R F2 ,2,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,
R D U' R F R' F U M ,2,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
R D U' F U R2 U R B' ,2,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,
R D U' R' U R B2 L' ,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
R D U' R' U' R U M U' L' ,2,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,
R D U' R' U2 R U2 B' ,2,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,
R D U' B2 R2 U' M' ,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,
R D U' M D' R' U' F' B2 ,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,
R D R2 D U' R U' D2 ,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,
R D R2 D' U M D' L' ,1,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,
R D U2 F R D U' M ,2,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
R D U2 R' U' R U' D' B' ,2,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,
R D U2 M U R2 B2 ,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,3,0,0,
R D M U F R' F R' D2 ,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,1,
R D M D U' R2 U' ,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,
R D M U' R U2 R2 F' ,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,
R D M U' M U' R D' F2 ,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,3,0,2,
R D M D2 R U R2 ,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,
R F R U D' F R' U' R' ,2,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
R F R D U' L' ,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
R F R U' F R' U' R U M2 ,3,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,
R F R U' M U F D U' ,2,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
R F R U2 F U2 F' ,2,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,1,
R F U R F D R' D ,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,
R F U D R D' R' U' L' ,2,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
R F U F R' U' R' F' U' ,1,0,1,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,
R F U R' U R2 D R' F2 ,1,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,
R F U R' U' D' R U D ,2,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
R F U R' U2 M U2 B ,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,9,0,0,
R F U D' M D' F ,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1,
R F U B2 M U2 F' ,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,6,0,0,
R F U M D' R2 D R' ,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,
R F D F U' R' U' R' L2 ,1,0,0,1,2,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,
R F D R' F' D R2 L2 ,1,0,0,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6,1,0,
R F D R2 U D M D2 ,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,1,
R F D M U' F D' F ,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,
R F R' U D M U' D' M ,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,
R F R' U F' R U' R' L' ,2,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,
R F R' D F R' U L ,1,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,
R F R' F R U D' R' U ,2,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,
R F R' F M' U L2 ,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,1,
R F R' U' R' F D' M U' ,1,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
R F R' U' M U F R B2 ,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,
R F R' D' R' U' M U F2 ,1,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,6,0,0,
R F R' U2 R' D R U R2 ,2,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,
R F U' R U R2 U' F D2 ,2,0,1,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,
R F U' R U2 F M U B2 ,2,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,9,0,0,
R F U' F R2 U2 M' ,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,0,1,
R F U' R' D R' D F' L2 ,1,0,0,2,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,1,1,
R F U' R' U' M U R2 U2 ,1,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,6,0,1,
R F U' D' R B' R2 ,2,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,0,0,
R F U' R2 U M F' U' B2 ,1,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0,3,0,0,
R F U' M U R' L' ,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,
R F U' M U2 R2 D' L ,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,3,1,0,
R F D' F R' U R F M ,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,1,
R F D' R' U' R' D R ,2,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
R F D' U2 R U L2 ,2,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,1,0,
R F D' M U2 R' D L ,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,
R F R2 D R2 D F2 ,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,1,
R F R2 D' M U F R ,2,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,
R F U2 F R' U R U2 ,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,
R F U2 R' D' F R' U2 ,1,0,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,9,0,0,
R F U2 M F D R L ,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,
R F B2 U' R2 ,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,
R F M U R' F' U D2 ,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,
R F M D R2 F B ,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,
R F M U' F R2 B2 ,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,
R F M D' R D' R' U' L' ,2,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,3,1,1,
R F M D2 R' U R B' ,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,
R U' R U F R' U R' F' D' ,2,0,2,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,
R U' R U R' U' M' U ,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
R U' R U B2 R' U' F ,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
R U' R D R' D' R D B ,3,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R U' R F U R' U' R' U2 ,2,0,1,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
R U' R F U' R2 U F' U' ,2,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
R U' R U' F R' U R' F2 ,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,
R U' R U' R' U' F U' L' ,2,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,
R U' R U' R2 D' F' M D ,2,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,
R U' R D' F M U D R2 ,2,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,
R U' R D' M F U2 R2 ,2,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,3,0,0,
R U' R U2 B2 D R2 ,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
R U' F R D U' R' F R' ,2,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
R U' F R D2 M U' D2 ,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,
R U' F U R' D F' R ,2,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,
R U' F U D2 R' F R' ,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,
R U' F D U' F L' ,1,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
R U' F R' U F' M U' B ,1,0,1,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,
R U' F R' U' F U' R' D2 ,1,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,
R U' F R' U2 R' F M B2 ,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,9,0,0,
R U' F U' R' U R' U' D' R2 ,1,0,1,0,1,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,6,0,1,
R U' F U' R2 D R2 B2 ,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,6,0,1,
R U' F D' R' D U' R U2 ,2,0,0,1,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
R U' F R2 U' R D U' ,2,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,
R U' F U2 M D R' B ,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,
R U' F M F U' R U2 L2 ,2,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,3,1,1,
R U' R' U R D F R' D' ,2,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
R U' R' U D F R' F' ,1,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,
R U' R' U F R2 D U M2 ,1,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
R U' R' U R' F' U' M F' L' ,1,0,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,
R U' R' U F' D F R L' ,2,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
R U' R' U M D U' R' D ,1,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
R U' R' D R D' R2 U' B' ,2,0,0,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,
R U' R' D U' R U' R' U B' ,2,0,1,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,
R U' R' D U2 R' U R2 B ,1,0,1,1,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
R U' R' F R U2 R L ,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
R U' R' F R' D R ,2,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
R U' R' F D' F U B ,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
R U' R' U' R U F R D' R' ,3,0,1,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
R U' R' U' R U2 F U F' ,2,0,1,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,
R U' R' U' F M U' F D2 ,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,
R U' R' U' R' F' D' R B' ,2,0,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,
R U' R' U' F' U R2 D F' ,1,0,1,1,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,
R U' R' U' M U R' F U' B2 ,1,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,
R U' R' D' R F R' U R F2 ,3,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,
R U' R' D' R' D M F R2 ,1,0,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
R U' R' D' U2 R U2 B2 ,2,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,
